,Species1
879,Calyptophilus frugivorus
880,Calyptophilus tertius
881,Campephaga flava
882,Campephaga petiti
883,Campephaga phoenicea
884,Campephaga quiscalina
885,Campochaera sloetii
886,Ceblepyris caesius
887,Ceblepyris cinereus
888,Ceblepyris cucullatus
889,Ceblepyris graueri
890,Ceblepyris pectoralis
891,Celebesica abbotti
892,Coracina atriceps
893,Coracina bicolor
894,Coracina boyeri
895,Coracina caeruleogrisea
896,Coracina caledonica
897,Coracina dobsoni
898,Coracina fortis
899,Coracina javensis
900,Coracina larvata
901,Coracina leucopygia
902,Coracina lineata
903,Coracina longicauda
904,Coracina macei
905,Coracina maxima
906,Coracina novaehollandiae
907,Coracina panayensis
908,Coracina papuensis
909,Coracina personata
910,Coracina schistacea
911,Coracina striata
912,Coracina temminckii
913,Coracina welchmani
914,Cyanograucalus azureus
915,Edolisoma anale
916,Edolisoma ceramense
917,Edolisoma coerulescens
918,Edolisoma dispar
919,Edolisoma dohertyi
920,Edolisoma grayi
921,Edolisoma holopolium
922,Edolisoma incertum
923,Edolisoma insperatum
924,Edolisoma melas
925,Edolisoma meyerii
926,Edolisoma mindanense
927,Edolisoma monacha
928,Edolisoma montanum
929,Edolisoma morio
930,Edolisoma nesiotis
931,Edolisoma obiense
932,Edolisoma ostentum
933,Edolisoma parvulum
934,Edolisoma pygmaeum
935,Edolisoma remotum
936,Edolisoma rostratum
937,Edolisoma salomonis
938,Edolisoma schisticeps
939,Edolisoma sula
940,Edolisoma tenuirostre
941,Lalage atrovirens
942,Lalage aurea
943,Lalage conjuncta
944,Lalage fimbriata
945,Lalage leucomela
946,Lalage leucoptera
947,Lalage leucopyga
948,Lalage leucopygialis
949,Lalage maculosa
950,Lalage melanoleuca
951,Lalage melanoptera
952,Lalage melaschistos
953,Lalage minor
954,Lalage moesta
955,Lalage newtoni
956,Lalage nigra
957,Lalage polioptera
958,Lalage sharpei
959,Lalage sueurii
960,Lalage tricolor
961,Lalage typica
962,Lobotos lobatus
963,Lobotos oriolinus
964,Malindangia mcgregori
965,Pericrocotus albifrons
966,Pericrocotus brevirostris
967,Pericrocotus cantonensis
968,Pericrocotus cinnamomeus
969,Pericrocotus divaricatus
970,Pericrocotus erythropygius
971,Pericrocotus ethologus
972,Pericrocotus flammeus
973,Pericrocotus igneus
974,Pericrocotus lansbergei
975,Pericrocotus miniatus
976,Pericrocotus montanus
977,Pericrocotus roseus
978,Pericrocotus solaris
979,Pericrocotus tegimae
980,Amaurospiza moesta
981,Amaurospiza relicta
982,Cardinalis cardinalis
983,Cardinalis phoeniceus
984,Cardinalis sinuatus
985,Caryothraustes canadensis
986,Caryothraustes celaeno
987,Caryothraustes erythromelas
988,Caryothraustes poliogaster
989,Cyanocompsa parellina
990,Cyanoloxia brissonii
991,Cyanoloxia cyanoides
992,Cyanoloxia glaucocaerulea
993,Cyanoloxia rothschildii
994,Granatellus francescae
995,Granatellus paraensis
996,Granatellus pelzelni
997,Granatellus sallaei
998,Granatellus venustus
999,Habia atrimaxillaris
1000,Habia carmioli
1001,Habia cristata
1002,Habia frenata
1003,Habia fuscicauda
1004,Habia gutturalis
1005,Habia olivacea
1006,Habia rubica
1007,Habia stolzmanni
1008,Passerina amoena
1009,Passerina caerulea
1010,Passerina ciris
1011,Passerina cyanea
1012,Passerina leclancherii
1013,Passerina rositae
1014,Passerina versicolor
1015,Pheucticus aureoventris
1016,Pheucticus chrysogaster
1017,Pheucticus chrysopeplus
1018,Pheucticus ludovicianus
1019,Pheucticus melanocephalus
1020,Pheucticus tibialis
1021,Piranga bidentata
1022,Piranga erythrocephala
1023,Piranga flava
1024,Piranga hepatica
1025,Piranga leucoptera
1026,Piranga ludoviciana
1027,Piranga olivacea
1028,Piranga roseogularis
1029,Piranga rubra
1030,Piranga rubriceps
1031,Spiza americana
1032,Certhia americana
1033,Certhia brachydactyla
1034,Certhia discolor
1035,Certhia familiaris
1036,Certhia himalayana
1037,Certhia hodgsoni
1038,Certhia manipurensis
1039,Certhia nipalensis
1040,Certhia tianquanensis
1041,Chaetops aurantius
1042,Chaetops frenatus
1043,Chloropsis aurifrons
1044,Chloropsis cochinchinensis
1045,Chloropsis cyanopogon
1046,Chloropsis flavipennis
1047,Chloropsis hardwickii
1048,Chloropsis jerdoni
1049,Chloropsis kinabaluensis
1050,Chloropsis lazulina
1051,Chloropsis media
1052,Chloropsis moluccensis
1053,Chloropsis palawanensis
1054,Chloropsis sonnerati
1055,Chloropsis venusta
1056,Cinclus cinclus
1057,Cinclus leucocephalus
1058,Cinclus mexicanus
1059,Cinclus pallasii
1060,Cinclus schulzii
1061,Cinclosoma ajax
1062,Cinclosoma alisteri
1063,Cinclosoma castaneothorax
1064,Cinclosoma castanotum
1065,Cinclosoma cinnamomeum
1066,Cinclosoma marginatum
1067,Cinclosoma punctatum
1068,Ptilorrhoa caerulescens
1069,Ptilorrhoa castanonota
1070,Ptilorrhoa geislerorum
1071,Ptilorrhoa leucosticta
1072,Apalis alticola
1073,Apalis argentea
1074,Apalis bamendae
1075,Apalis binotata
1076,Apalis chapini
1077,Apalis chariessa
1078,Apalis chirindensis
1079,Apalis cinerea
1080,Apalis flavida
1081,Apalis flavigularis
1082,Apalis flavocincta
1083,Apalis fuscigularis
1084,Apalis goslingi
1085,Apalis jacksoni
1086,Apalis kaboboensis
1087,Apalis karamojae
1088,Apalis lynesi
1089,Apalis melanocephala
1090,Apalis nigriceps
1091,Apalis personata
1092,Apalis porphyrolaema
1093,Apalis ruddi
1094,Apalis rufogularis
1095,Apalis sharpii
1096,Apalis thoracica
1097,Artisornis metopias
1098,Artisornis moreaui
