,SpeciesName,NumReferences,NumChar,NumWords,Error
472,Eurystomus azureus,3,1067,163,200
473,Eurystomus glaucurus,10,2262,358,200
474,Eurystomus gularis,9,2829,447,200
475,Eurystomus orientalis,9,2750,443,200
476,Meropogon forsteni,1,1907,309,200
477,Merops albicollis,1,1802,293,200
478,Merops americanus,5,914,142,200
479,Merops apiaster,12,4367,725,200
480,Merops boehmi,2,344,53,200
481,Merops breweri,2,1954,335,200
482,Merops bullockoides,5,3078,477,200
483,Merops bulocki,3,1938,319,200
484,Merops cyanophrys,5,1894,305,200
485,Merops gularis,2,1439,229,200
486,Merops hirundineus,2,1128,181,200
487,Merops lafresnayii,6,3133,483,200
488,Merops leschenaulti,8,3460,575,200
489,Merops malimbicus,3,2358,403,200
490,Merops mentalis,2,575,87,200
491,Merops muelleri,3,1729,291,200
492,Merops nubicoides,1,1727,277,200
493,Merops nubicus,9,3110,489,200
494,Merops oreobates,3,1652,262,200
495,Merops orientalis,25,6547,1064,200
496,Merops ornatus,13,5085,829,200
497,Merops persicus,3,2250,373,200
498,Merops philippinus,21,4529,735,200
499,Merops pusillus,6,1567,256,200
500,Merops revoilii,3,1677,292,200
501,Merops superciliosus,11,2778,430,200
502,Merops variegatus,9,5961,953,200
503,Merops viridis,13,8356,1250,200
504,Merops viridissimus,5,1811,288,200
505,Nyctyornis amictus,1,989,154,200
506,Nyctyornis athertoni,26,4457,737,200
507,Aspatha gularis,3,1861,322,200
508,Baryphthengus martii,4,3123,519,200
509,Baryphthengus ruficapillus,4,2189,352,200
510,Electron carinatum,2,1913,327,200
511,Electron platyrhynchum,7,4130,670,200
512,Eumomota superciliosa,7,2861,475,200
513,Hylomanes momotula,3,2663,440,200
514,Momotus aequatorialis,5,2199,378,200
515,Momotus bahamensis,3,1281,219,200
516,Momotus coeruliceps,2,948,157,200
517,Momotus lessonii,1,783,126,200
518,Momotus mexicanus,18,8467,1257,200
519,Momotus momota,5,1876,291,200
520,Momotus subrufescens,5,1936,293,200
521,Todus angustirostris,3,2955,482,200
522,Todus mexicanus,11,8919,1444,200
523,Todus multicolor,6,2189,364,200
524,Todus subulatus,4,12827,2050,200
525,Todus todus,16,8321,1351,200
526,Caracara cheriway,31,7341,1162,200
527,Caracara plancus,31,7341,1162,200
528,Daptrius ater,22,6635,1030,200
529,Falco alopex,1,2009,362,200
530,Falco amurensis,18,4864,801,200
531,Falco araeus,2,2462,434,200
532,Falco ardosiaceus,2,2737,480,200
533,Falco berigora,6,2266,362,200
534,Falco biarmicus,20,7740,1244,200
535,Falco cenchroides,9,5037,835,200
536,Falco cherrug,24,6854,1091,200
537,Falco chicquera,31,8340,1358,200
538,Falco columbarius,42,20533,3269,200
539,Falco concolor,9,5826,987,200
540,Falco cuvierii,1,2331,375,200
541,Falco deiroleucus,11,6667,1047,200
542,Falco dickinsoni,2,2790,487,200
543,Falco eleonorae,11,4011,646,200
544,Falco fasciinucha,6,6353,1000,200
545,Falco femoralis,18,7755,1245,200
546,Falco hypoleucos,18,5926,984,200
547,Falco jugger,2,1583,250,200
548,Falco longipennis,18,7816,1197,200
549,Falco mexicanus,45,22364,3625,200
550,Falco moluccensis,15,4112,642,200
551,Falco naumanni,10,3600,585,200
552,Falco newtoni,4,3587,618,200
553,Falco novaeseelandiae,33,6071,971,200
554,Falco peregrinus,6,33279,5240,200
555,Falco punctatus,11,8245,1305,200
556,Falco ruficollis,31,8340,1358,200
557,Falco rufigularis,13,6038,999,200
558,Falco rupicoloides,1,3335,587,200
559,Falco rusticolus,3,14918,2363,200
560,Falco severus,4,871,145,200
561,Falco sparverius,83,29991,4739,200
562,Falco subbuteo,18,3045,502,200
563,Falco subniger,17,9361,1456,200
564,Falco tinnunculus,33,13785,2242,200
565,Falco vespertinus,17,15308,2426,200
566,Falco zoniventris,1,1662,288,200
567,Herpetotheres cachinnans,19,8263,1332,200
