SpeciesName,NumRef
Pomarea whitneyi,2
Symposiachrus boanensis,2
Symposiachrus everetti,2
Symposiachrus julianae,2
Symposiachrus leucurus,2
Symposiachrus loricatus,2
Symposiachrus manadensis,1
Symposiachrus menckei,2
Symposiachrus mundus,2
Symposiachrus sacerdotum,2
Terpsiphone bedfordi,1
Terpsiphone cinnamomea,2
Terpsiphone cyanescens,2
Terpsiphone floris,2
Terpsiphone unirufa,2
Trochocercus bivittatus,2
Trochocercus cyanomelas,2
Trochocercus nitens,2
Anthus berthelotii,2
Anthus bogotensis,1
Anthus brachyurus,1
Anthus caffer,1
Anthus chacoensis,1
Anthus cinnamomeus,2
Anthus correndera,1
Anthus crenatus,1
Anthus furcatus,1
Anthus godlewskii,2
