"Species","Results"
"Coracias caudatus","0"
"Coracias cyanogaster","0"
"Coracias garrulus","0"
"Coracias naevius","0"
"Coracias spatulatus","0"
"Coracias temminckii","0"
"Eurystomus azureus","0"
"Eurystomus glaucurus","0"
"Eurystomus gularis","0"
"Eurystomus orientalis","0"
"Meropogon forsteni","0"
"Merops albicollis","0"
"Merops americanus","0"
"Merops apiaster","4"
"Merops boehmi","0"
"Merops breweri","0"
"Merops bullockoides","2"
"Merops bulocki","0"
"Merops cyanophrys","0"
"Merops gularis","0"
"Merops hirundineus","0"
"Merops lafresnayii","0"
"Merops leschenaulti","0"
"Merops malimbicus","0"
"Merops mentalis","0"
"Merops muelleri","0"
"Merops nubicoides","0"
"Merops nubicus","0"
"Merops oreobates","0"
"Merops orientalis","0"
"Merops ornatus","1"
"Merops persicus","0"
"Merops philippinus","0"
"Merops pusillus","0"
"Merops revoilii","0"
"Merops superciliosus","0"
"Merops variegatus","0"
"Merops viridis","0"
"Merops viridissimus","0"
"Nyctyornis amictus","0"
"Nyctyornis athertoni","0"
"Aspatha gularis","0"
"Baryphthengus martii","0"
"Baryphthengus ruficapillus","0"
"Electron carinatum","0"
"Electron platyrhynchum","0"
"Eumomota superciliosa","0"
"Hylomanes momotula","0"
"Momotus aequatorialis","0"
"Momotus bahamensis","0"
"Momotus coeruliceps","0"
"Momotus lessonii","0"
"Momotus mexicanus","0"
"Momotus momota","1"
"Momotus subrufescens","0"
"Todus angustirostris","0"
"Todus mexicanus","0"
"Todus multicolor","0"
"Todus subulatus","0"
"Todus todus","0"
"Caracara cheriway","2"
"Caracara plancus","3"
"Daptrius ater","0"
"Falco alopex","0"
"Falco amurensis","6"
"Falco araeus","0"
"Falco ardosiaceus","0"
"Falco berigora","1"
"Falco biarmicus","2"
"Falco cenchroides","0"
"Falco cherrug","2"
"Falco chicquera","2"
"Falco columbarius","10"
"Falco concolor","0"
"Falco cuvierii","0"
"Falco deiroleucus","0"
"Falco dickinsoni","0"
"Falco eleonorae","1"
"Falco fasciinucha","0"
"Falco femoralis","1"
"Falco hypoleucos","0"
"Falco jugger","0"
"Falco longipennis","0"
"Falco mexicanus","2"
"Falco moluccensis","0"
"Falco naumanni","19"
"Falco newtoni","0"
"Falco novaeseelandiae","0"
"Falco peregrinus","23"
"Falco punctatus","1"
"Falco ruficollis","0"
"Falco rufigularis","0"
"Falco rupicoloides","0"
"Falco rusticolus","1"
"Falco severus","0"
"Falco sparverius","12"
"Falco subbuteo","8"
"Falco subniger","1"
"Falco tinnunculus","13"
"Falco vespertinus","3"
"Falco zoniventris","0"
"Herpetotheres cachinnans","0"
"Ibycter americanus","0"
"Micrastur buckleyi","0"
"Micrastur gilvicollis","0"
"Micrastur mintoni","0"
"Micrastur mirandollei","0"
"Micrastur plumbeus","0"
"Micrastur ruficollis","0"
"Micrastur semitorquatus","0"
"Microhierax caerulescens","0"
"Microhierax erythrogenys","0"
"Microhierax fringillarius","0"
"Microhierax latifrons","0"
"Microhierax melanoleucos","0"
"Milvago chimachima","0"
"Phalcoboenus albogularis","0"
"Phalcoboenus australis","1"
"Phalcoboenus carunculatus","0"
"Phalcoboenus chimango","0"
"Phalcoboenus megalopterus","0"
"Polihierax insignis","0"
"Polihierax semitorquatus","5"
"Spiziapteryx circumcincta","0"
"Leptosomus discolor","0"
"Acanthisitta chloris","3"
"Xenicus gilviventris","0"
"Acanthiza apicalis","0"
"Acanthiza chrysorrhoa","0"
"Acanthiza cinerea","0"
"Acanthiza ewingii","0"
"Acanthiza inornata","0"
"Acanthiza iredalei","0"
"Acanthiza katherina","0"
"Acanthiza lineata","1"
"Acanthiza murina","0"
"Acanthiza nana","0"
"Acanthiza pusilla","1"
"Acanthiza reguloides","2"
"Acanthiza robustirostris","0"
"Acanthiza uropygialis","0"
"Acanthornis magna","0"
"Aphelocephala leucopsis","0"
"Aphelocephala nigricincta","0"
"Aphelocephala pectoralis","0"
"Calamanthus campestris","0"
"Calamanthus cautus","0"
"Calamanthus fuliginosus","0"
"Calamanthus montanellus","0"
"Calamanthus pyrrhopygius","0"
"Crateroscelis murina","0"
"Crateroscelis nigrorufa","0"
"Crateroscelis robusta","0"
"Gerygone albofrontata","0"
"Gerygone chloronota","0"
"Gerygone chrysogaster","0"
"Gerygone citrina","0"
"Gerygone dorsalis","0"
"Gerygone flavolateralis","0"
"Gerygone fusca","0"
"Gerygone hypoxantha","0"
"Gerygone igata","0"
"Gerygone inornata","0"
"Gerygone levigaster","0"
"Gerygone magnirostris","0"
"Gerygone modesta","0"
"Gerygone mouki","4"
"Gerygone olivacea","1"
"Gerygone palpebrosa","0"
"Gerygone ruficollis","0"
"Gerygone sulphurea","0"
"Gerygone tenebrosa","0"
"Oreoscopus gutturalis","2"
"Origma solitaria","0"
"Pachycare flavogriseum","0"
"Pycnoptilus floccosus","0"
"Pyrrholaemus brunneus","0"
"Pyrrholaemus sagittatus","0"
"Sericornis arfakianus","0"
"Sericornis beccarii","0"
"Sericornis citreogularis","4"
"Sericornis frontalis","1"
"Sericornis humilis","0"
"Sericornis keri","0"
"Sericornis magnirostra","0"
"Sericornis nouhuysi","0"
"Sericornis papuensis","3"
"Sericornis perspicillatus","0"
"Sericornis rufescens","0"
"Sericornis spilodera","0"
"Smicrornis brevirostris","0"
"Acrocephalus aequinoctialis","0"
"Acrocephalus agricola","0"
"Acrocephalus arundinaceus","5"
"Acrocephalus atyphus","0"
"Acrocephalus australis","0"
"Acrocephalus bistrigiceps","0"
"Acrocephalus brevipennis","0"
"Acrocephalus caffer","0"
"Acrocephalus concinens","0"
"Acrocephalus dumetorum","0"
"Acrocephalus familiaris","0"
"Acrocephalus gracilirostris","1"
"Acrocephalus griseldis","0"
"Acrocephalus hiwae","0"
"Acrocephalus kerearako","0"
"Acrocephalus longirostris","0"
"Acrocephalus melanopogon","1"
"Acrocephalus mendanae","0"
"Acrocephalus newtoni","0"
"Acrocephalus orientalis","0"
"Acrocephalus orinus","0"
"Acrocephalus paludicola","0"
"Acrocephalus palustris","5"
"Acrocephalus percernis","0"
"Acrocephalus rehsei","0"
"Acrocephalus rimitarae","0"
"Acrocephalus rodericanus","0"
"Acrocephalus rufescens","0"
"Acrocephalus schoenobaenus","3"
"Acrocephalus scirpaceus","2"
"Acrocephalus sechellensis","3"
"Acrocephalus sorghophilus","0"
"Acrocephalus stentoreus","0"
"Acrocephalus syrinx","0"
"Acrocephalus taiti","0"
"Acrocephalus tangorum","0"
"Acrocephalus vaughani","0"
"Arundinax aedon","0"
"Calamonastides bensoni","0"
"Calamonastides gracilirostris","0"
"Hippolais icterina","0"
"Hippolais languida","0"
"Hippolais olivetorum","0"
"Hippolais polyglotta","0"
"Iduna caligata","0"
"Iduna natalensis","0"
"Iduna opaca","0"
"Iduna pallida","0"
"Iduna rama","0"
"Iduna similis","0"
"Nesillas brevicaudata","0"
"Nesillas lantzii","0"
"Nesillas mariae","0"
"Nesillas typica","0"
"Aegithalos annamensis","0"
"Aegithalos bonvaloti","0"
"Aegithalos caudatus","5"
"Aegithalos concinnus","0"
"Aegithalos fuliginosus","0"
"Aegithalos glaucogularis","0"
"Aegithalos iouschistos","0"
"Aegithalos iredalei","0"
"Aegithalos leucogenys","0"
"Aegithalos niveogularis","0"
"Leptopoecile elegans","0"
"Leptopoecile sophiae","0"
"Psaltria exilis","0"
"Psaltriparus minimus","0"
"Aegithina lafresnayei","0"
"Aegithina nigrolutea","0"
"Aegithina tiphia","0"
"Aegithina viridissima","0"
"Alaemon alaudipes","0"
"Alaemon hamertoni","0"
"Alauda arvensis","5"
"Alauda gulgula","0"
"Alauda leucoptera","0"
"Alauda razae","0"
"Alaudala raytal","0"
"Alaudala rufescens","0"
"Alaudala somalica","0"
"Ammomanes cinctura","0"
"Ammomanes deserti","0"
"Ammomanes phoenicura","0"
"Ammomanopsis grayi","0"
"Calandrella acutirostris","0"
"Calandrella blanfordi","0"
"Calandrella brachydactyla","0"
"Calandrella cinerea","0"
"Calandrella dukhunensis","0"
"Calandrella eremica","0"
"Calendulauda africanoides","0"
"Calendulauda albescens","0"
"Calendulauda alopex","0"
"Calendulauda burra","0"
"Calendulauda erythrochlamys","0"
"Calendulauda poecilosterna","0"
"Calendulauda sabota","0"
"Certhilauda chuana","0"
"Certhilauda curvirostris","0"
"Certhilauda semitorquata","0"
"Certhilauda subcoronata","0"
"Chersomanes albofasciata","0"
"Chersophilus duponti","0"
"Eremalauda dunni","0"
"Eremalauda eremodites","0"
"Eremophila alpestris","4"
"Eremophila bilopha","0"
"Eremopterix australis","0"
"Eremopterix griseus","0"
"Eremopterix hova","0"
"Eremopterix leucopareia","0"
"Eremopterix leucotis","0"
"Eremopterix nigriceps","0"
"Eremopterix signatus","0"
"Eremopterix verticalis","0"
"Galerida cristata","0"
"Galerida deva","0"
"Galerida magnirostris","0"
"Galerida malabarica","0"
"Galerida modesta","0"
"Galerida theklae","0"
"Heteromirafra archeri","1"
"Heteromirafra ruddi","0"
"Lullula arborea","6"
"Melanocorypha bimaculata","0"
"Melanocorypha calandra","0"
"Melanocorypha maxima","0"
"Melanocorypha mongolica","0"
"Melanocorypha yeltoniensis","0"
"Mirafra affinis","0"
"Mirafra africana","0"
"Mirafra albicauda","0"
"Mirafra angolensis","0"
"Mirafra apiata","0"
"Mirafra ashi","0"
"Mirafra assamica","0"
"Mirafra cheniana","0"
"Mirafra collaris","0"
"Mirafra cordofanica","0"
"Mirafra erythrocephala","0"
"Mirafra erythroptera","0"
"Mirafra fasciolata","0"
"Mirafra gilletti","0"
"Mirafra hypermetra","0"
"Mirafra javanica","0"
"Mirafra microptera","0"
"Mirafra passerina","0"
"Mirafra pulpa","0"
"Mirafra rufa","0"
"Mirafra rufocinnamomea","0"
"Mirafra sharpii","0"
"Mirafra somalica","0"
"Mirafra williamsi","0"
"Pinarocorys erythropygia","0"
"Pinarocorys nigricans","0"
"Ramphocoris clotbey","0"
"Spizocorys conirostris","0"
"Spizocorys fremantlii","0"
"Spizocorys fringillaris","0"
"Spizocorys obbiensis","0"
"Spizocorys personata","0"
"Spizocorys sclateri","0"
"Spizocorys starki","0"
"Artamus cinereus","1"
"Artamus cyanopterus","0"
"Artamus fuscus","0"
"Artamus insignis","0"
"Artamus leucoryn","0"
"Artamus maximus","0"
"Artamus mentalis","0"
"Artamus minor","1"
"Artamus monachus","0"
"Artamus personatus","0"
"Artamus superciliosus","0"
"Cracticus argenteus","0"
"Cracticus cassicus","0"
"Cracticus louisiadensis","0"
"Cracticus mentalis","0"
"Cracticus nigrogularis","1"
"Cracticus torquatus","0"
"Gymnorhina tibicen","2"
"Melloria quoyi","0"
"Peltops blainvillii","0"
"Peltops montanus","0"
"Strepera fuliginosa","0"
"Strepera graculina","1"
"Strepera versicolor","0"
"Atrichornis clamosus","0"
"Atrichornis rufescens","0"
"Bernieria madagascariensis","0"
"Crossleyia tenebrosa","0"
"Crossleyia xanthophrys","0"
"Cryptosylvicola randrianasoloi","0"
"Hartertula flavoviridis","0"
"Oxylabes madagascariensis","0"
"Randia pseudozosterops","0"
"Thamnornis chloropetoides","0"
"Xanthomixis apperti","0"
"Xanthomixis cinereiceps","0"
"Xanthomixis zosterops","0"
"Bombycilla cedrorum","1"
"Bombycilla garrulus","3"
"Bombycilla japonica","1"
"Buphagus africanus","1"
"Buphagus erythrorynchus","0"
"Calcarius lapponicus","2"
"Calcarius ornatus","0"
"Calcarius pictus","0"
"Plectrophenax hyperboreus","0"
"Plectrophenax nivalis","2"
"Rhynchophanes mccownii","0"
"Callaeas cinereus","0"
"Callaeas wilsoni","0"
"Philesturnus carunculatus","2"
"Philesturnus rufusater","1"
"Calyptomena hosii","0"
"Calyptomena viridis","0"
"Calyptomena whiteheadi","0"
"Smithornis capensis","0"
"Smithornis rufolateralis","0"
"Smithornis sharpei","0"
"Calyptophilus frugivorus","0"
"Calyptophilus tertius","1"
"Campephaga flava","0"
"Campephaga petiti","0"
"Campephaga phoenicea","0"
"Campephaga quiscalina","0"
"Campochaera sloetii","0"
"Ceblepyris caesius","0"
"Ceblepyris cinereus","0"
"Ceblepyris cucullatus","0"
"Ceblepyris graueri","0"
"Ceblepyris pectoralis","0"
"Celebesica abbotti","0"
"Coracina atriceps","0"
"Coracina bicolor","0"
"Coracina boyeri","0"
"Coracina caeruleogrisea","0"
"Coracina caledonica","0"
"Coracina dobsoni","0"
"Coracina fortis","0"
"Coracina javensis","0"
"Coracina larvata","0"
"Coracina leucopygia","0"
"Coracina lineata","0"
"Coracina longicauda","0"
"Coracina macei","0"
"Coracina maxima","0"
"Coracina novaehollandiae","0"
"Coracina panayensis","0"
"Coracina papuensis","0"
"Coracina personata","0"
"Coracina schistacea","0"
"Coracina striata","0"
"Coracina temminckii","0"
"Coracina welchmani","0"
"Cyanograucalus azureus","0"
"Edolisoma anale","0"
"Edolisoma ceramense","0"
"Edolisoma coerulescens","0"
"Edolisoma dispar","0"
"Edolisoma dohertyi","0"
"Edolisoma grayi","0"
"Edolisoma holopolium","0"
"Edolisoma incertum","0"
"Edolisoma insperatum","0"
"Edolisoma melas","0"
"Edolisoma meyerii","0"
"Edolisoma mindanense","0"
"Edolisoma monacha","0"
"Edolisoma montanum","0"
"Edolisoma morio","0"
"Edolisoma nesiotis","0"
"Edolisoma obiense","0"
"Edolisoma ostentum","0"
"Edolisoma parvulum","0"
"Edolisoma pygmaeum","0"
"Edolisoma remotum","0"
"Edolisoma rostratum","0"
"Edolisoma salomonis","0"
"Edolisoma schisticeps","0"
"Edolisoma sula","0"
"Edolisoma tenuirostre","0"
"Lalage atrovirens","0"
"Lalage aurea","0"
"Lalage conjuncta","0"
"Lalage fimbriata","0"
"Lalage leucomela","0"
"Lalage leucoptera","0"
"Lalage leucopyga","0"
"Lalage leucopygialis","0"
"Lalage maculosa","0"
"Lalage melanoleuca","0"
"Lalage melanoptera","0"
"Lalage melaschistos","0"
"Lalage minor","0"
"Lalage moesta","0"
"Lalage newtoni","0"
"Lalage nigra","1"
"Lalage polioptera","0"
"Lalage sharpei","0"
"Lalage sueurii","1"
"Lalage tricolor","0"
